iter	Passed	Remaining
1377	73168	86124
1378	73232	86083
1379	73297	86045
1380	73362	86006
1381	73417	85955
1382	73482	85915
1383	73538	85865
1384	73596	85818
1385	73664	85782
1386	73733	85747
1387	73786	85694
1388	73848	85651
1389	73906	85604
1390	73966	85559
1391	74034	85523
1392	74105	85490
1393	74172	85452
1394	74228	85402
1395	74286	85354
1396	74351	85315
1397	74412	85271
1398	74468	85221
1399	74538	85186
1400	74600	85143
1401	74664	85102
1402	74725	85058
1403	74788	85015
1404	74855	84978
1405	74921	84939
1406	74982	84894
1407	75048	84855
1408	75106	84807
1409	75170	84767
1410	75235	84726
1411	75297	84683
1412	75359	84639
1413	75411	84585
1414	75476	84544
1415	75537	84499
1416	75595	84451
1417	75659	84410
1418	75716	84360
1419	75776	84314
1420	75842	84275
1421	75907	84234
1422	75967	84188
1423	76031	84147
1424	76090	84100
1425	76143	84046
1426	76207	84004
1427	76273	83965
1428	76326	83910
1429	76383	83861
1430	76439	83811
1431	76509	83775
1432	76570	83731
1433	76638	83692
1434	76705	83654
1435	76777	83620
1436	76840	83578
1437	76903	83534
1438	76964	83489
1439	77028	83447
1440	77094	83407
1441	77155	83362
1442	77218	83318
1443	77288	83282
1444	77353	83242
1445	77415	83197
1446	77481	83156
1447	77549	83119
1448	77613	83076
1449	77677	83034
1450	77745	82995
1451	77804	82948
1452	77867	82904
1453	77927	82858
1454	77987	82811
1455	78051	82768
1456	78116	82727
1457	78182	82686
1458	78247	82644
1459	78305	82596
1460	78368	82552
1461	78430	82507
1462	78497	82468
1463	78557	82420
1464	78621	82378
1465	78697	82348
1466	78768	82311
1467	78856	82294
1468	78938	82270
1469	79019	82244
1470	79128	82248
1471	79217	82231
1472	79301	82208
1473	79380	82180
1474	79504	82199
1475	79651	82241
1476	79765	82250
1477	79849	82226
1478	79932	82202
1479	79997	82159
1480	80067	82121
1481	80155	82103
1482	80362	82205
1483	80418	82152
1484	80494	82120
1485	80554	82072
1486	80622	82032
1487	80688	81990
1488	80756	81949
1489	80819	81904
1490	80884	81861
1491	80974	81843
1492	81037	81797
1493	81095	81746
1494	81165	81708
1495	81230	81664
1496	81305	81631
1497	81368	81585
1498	81463	81572
1499	81563	81563
1500	81680	81571
1501	81759	81541
1502	81837	81510
1503	81905	81469
1504	81994	81449
1505	82071	81417
1506	82178	81415
1507	82256	81383
1508	82337	81354
1509	82416	81324
1510	82492	81291
1511	82578	81267
1512	82664	81244
1513	82752	81221
1514	82844	81204
1515	82931	81180
1516	82998	81138
1517	83062	81092
1518	83138	81058
1519	83216	81027
1520	83294	80994
1521	83381	80970
1522	83463	80942
1523	83532	80901
1524	83604	80863
1525	83678	80826
1526	83753	80791
1527	83826	80754
1528	83905	80722
1529	83976	80683
1530	84044	80640
1531	84115	80601
1532	84181	80557
1533	84248	80513
1534	84326	80480
1535	84393	80437
1536	84456	80389
1537	84521	80344
1538	84577	80291
1539	84635	80239
1540	84703	80196
1541	84770	80152
1542	84834	80106
1543	84898	80059
1544	84957	80008
1545	85018	79959
1546	85080	79910
1547	85142	79862
1548	85200	79810
1549	85263	79762
1550	85335	79723
1551	85392	79670
1552	85456	79623
1553	85520	79577
1554	85578	79524
1555	85644	79480
1556	85711	79436
1557	85775	79389
1558	85835	79338
1559	85899	79292
1560	85961	79243
1561	86019	79190
1562	86080	79140
1563	86133	79084
1564	86208	79047
